日期,开盘,收盘,最高,最低,5日涨幅,振幅,换手率,量比,成交量,成交额,日MA5,日MA15,日MA30,日MA45,日MA60,日MA75,日MA90,日MA105,日MA120,日MA150,周MA5,周MA10,周MA15,周MA20,周MA30,周MA40,周MA50,周MA60,周MA70,周MA80,周MA90,获利比例,平均成本,90%成本-低,90%成本-高,90%集中度,70%成本-低,70%成本-高,70%集中度,日K筹码平均成本,周K筹码平均成本,日K筹码偏离率,周K筹码偏离率,收盘价相对周MAX位置,日周筹码成本差值,日周筹码成本差值率
2014-10-08,28.28,28.62,28.69,27.87,0.67,2.91,1.3304,1.45,1982314.0,56743738.25,28.59,28.92,28.93,28.88,28.95,28.93,28.71,28.47,28.18,,29.1,28.86,28.99,28.69,,,,,,,,22.35,28.95,28.28,29.76,2.55,28.5,29.34,1.46,28.95,28.96,-1.12,-1.16,-1.63,-0.01,-0.03
2014-10-09,28.56,28.04,28.57,27.95,-1.61,2.17,1.627,1.66,2453205.0,68797681.02,28.5,28.82,28.91,28.87,28.93,28.93,28.72,28.49,28.19,,29.1,28.86,28.99,28.69,,,,,,,,0.0,28.92,28.28,29.76,2.55,28.5,29.34,1.46,28.92,28.96,-3.03,-3.16,-3.62,-0.04,-0.14
2014-10-10,27.89,27.22,28.26,27.2,-5.35,3.76,2.0149,1.76,3052228.0,83095381.19,28.19,28.65,28.87,28.85,28.91,28.91,28.72,28.49,28.2,,28.68,28.75,28.88,28.67,,,,,,,,0.0,28.87,28.07,29.76,2.93,28.28,29.34,1.83,28.87,28.86,-5.7,-5.67,-5.74,0.01,0.03
2014-10-13,27.25,26.66,27.48,26.66,-7.65,3.01,1.6208,1.14,2412787.0,64326107.81,27.75,28.47,28.81,28.81,28.86,28.88,28.71,28.49,28.2,,28.68,28.75,28.88,28.67,,,,,,,,0.0,28.8,27.44,29.76,4.07,28.28,29.34,1.83,28.8,28.86,-7.43,-7.62,-7.69,-0.06,-0.21
2014-10-14,26.94,26.9,27.36,26.66,-4.58,2.63,1.4828,0.94,2211280.0,59476798.16,27.49,28.33,28.74,28.78,28.82,28.86,28.7,28.5,28.2,,28.68,28.75,28.88,28.67,,,,,,,,2.56,28.75,27.23,29.76,4.45,28.28,29.34,1.83,28.75,28.86,-6.45,-6.8,-6.88,-0.11,-0.38
2014-10-15,26.55,26.5,26.64,25.92,-7.42,2.7,2.4227,1.52,3693800.0,97887546.9,27.07,28.13,28.66,28.74,28.76,28.83,28.69,28.5,28.21,,28.68,28.75,28.88,28.67,,,,,,,,3.67,28.64,26.8,29.76,5.23,28.07,29.34,2.21,28.64,28.86,-7.47,-8.18,-8.25,-0.22,-0.76
2014-10-16,25.95,26.23,26.47,25.75,-6.48,2.72,2.1532,1.22,3359516.0,88104986.86,26.7,27.96,28.57,28.68,28.7,28.79,28.67,28.5,28.21,,28.68,28.75,28.88,28.67,,,,,,,,4.53,28.54,26.38,29.76,6.03,27.23,29.34,3.74,28.54,28.86,-8.11,-9.13,-9.2,-0.32,-1.11
2014-10-17,26.36,25.56,26.55,25.43,-6.12,4.28,3.3672,1.87,5504957.0,140698443.48,26.37,27.75,28.44,28.61,28.63,28.74,28.64,28.5,28.21,,28.04,28.47,28.64,28.55,,,,,,,,1.82,28.37,25.96,29.76,6.83,26.8,29.34,4.52,28.37,28.6,-9.91,-10.63,-10.75,-0.23,-0.8
2014-10-20,25.47,26.04,26.09,25.4,-2.32,2.67,1.5583,0.75,2590777.0,67469014.63,26.24,27.56,28.33,28.55,28.58,28.7,28.62,28.49,28.2,,28.04,28.47,28.64,28.55,,,,,,,,8.72,28.3,25.96,29.76,6.83,26.38,29.34,5.31,28.3,28.6,-7.98,-8.94,-9.06,-0.3,-1.05
2014-10-21,26.26,26.33,26.34,25.96,-2.12,1.47,1.3754,0.67,2317501.0,61012848.83,26.13,27.39,28.24,28.49,28.52,28.66,28.6,28.49,28.2,,28.04,28.47,28.64,28.55,,,,,,,,14.67,28.25,25.96,29.76,6.83,26.38,29.34,5.31,28.25,28.6,-6.81,-7.95,-8.07,-0.35,-1.22
2014-10-22,26.49,26.64,26.99,26.44,0.51,2.09,1.6969,0.83,2904142.0,77353274.24,26.16,27.27,28.15,28.43,28.48,28.63,28.59,28.48,28.2,,28.04,28.47,28.64,28.55,,,,,,,,19.77,28.2,25.96,29.76,6.83,26.38,29.34,5.31,28.2,28.6,-5.55,-6.87,-6.99,-0.4,-1.4
2014-10-23,26.97,27.19,27.36,26.79,3.68,2.13,1.3242,0.69,2294712.0,62394366.64,26.35,27.18,28.09,28.39,28.44,28.61,28.59,28.48,28.21,,28.04,28.47,28.64,28.55,,,,,,,,25.25,28.18,25.96,29.55,6.48,26.38,29.34,5.31,28.18,28.6,-3.51,-4.93,-5.05,-0.42,-1.47
2014-10-24,27.22,26.99,27.24,26.79,5.6,1.67,1.1332,0.63,1961800.0,52947020.2,26.64,27.06,28.03,28.34,28.42,28.59,28.59,28.46,28.22,,27.47,28.3,28.51,28.51,,,,,,,,22.21,28.16,25.96,29.55,6.48,26.38,29.34,5.31,28.16,28.4,-4.16,-4.97,-5.32,-0.24,-0.85
